main.py[LINE:50]# INFO     [2019-09-15 01:01:46,677]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:48,464]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:48,761]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:49,460]  Парсим новость по адресу https://roscongress.org/news/presentations-of-far-eastern-startups-at-innovation-spaces-business-priority-pitch-session-/
main.py[LINE:50]# INFO     [2019-09-15 01:01:52,680]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:54,469]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:55,235]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:55,377]  Парсим новость по адресу https://roscongress.org/news/infrastruktura-buduschego-sozdavaja-novye-tsentry-pritjazhenija-na-dalnem-vostoke/
main.py[LINE:50]# INFO     [2019-09-15 01:01:57,762]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:59,533]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:59,825]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:02:00,529]  Парсим новость по адресу https://roscongress.org/news/na-dalnem-vostoke-otkrylsja-pervyj-rossijskij-tsentr-kollektivnogo-proektirovanija-elektroniki/
main.py[LINE:50]# INFO     [2019-09-15 01:02:02,917]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:02:04,752]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:02:04,977]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:02:05,679]  Парсим новость по адресу https://roscongress.org/news/russian-foreign-ministry-discusses-preparations-and-agenda-for-russiaafrica-economic-forum-and-summit/
main.py[LINE:50]# INFO     [2019-09-15 01:02:09,669]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:02:11,443]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:02:11,745]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:02:12,927]  Парсим новость по адресу https://roscongress.org/news/agreement-to-launch-new-russian-chinese-accelerator-signed-at-roscongress-innovation-space-as-part-of-eef/
main.py[LINE:50]# INFO     [2019-09-15 01:02:15,935]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:02:17,731]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:02:18,555]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:184]# INFO     [2019-09-15 01:02:18,555]  Цикл 2 Закончен
main.py[LINE:125]# INFO     [2019-09-15 01:02:18,555]  Старт цикла 3
main.py[LINE:61]# ERROR    [2019-09-15 01:02:19,565]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:02:19,566]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:02:24,342]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:135]# INFO     [2019-09-15 01:02:44,843]  Список новостей успешно получен
main.py[LINE:27]# INFO     [2019-09-15 01:02:51,910]  Парсим новость по адресу https://roscongress.org/news/finodays-na-start-vnimanie-marsh/
main.py[LINE:50]# INFO     [2019-09-15 01:02:57,320]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:02:59,246]  Новость уже есть в БД
main.py[LINE:61]# ERROR    [2019-09-15 01:03:00,133]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:03:00,133]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:03:02,767]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:04:03,044]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:65]# INFO     [2019-09-15 01:04:09,647]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:05:09,761]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 2 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:06:18,379]  Не удалось нажать кнопку 'показать еще':Message: 

main.py[LINE:62]# INFO     [2019-09-15 01:06:18,379]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:06:22,087]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:06:29,161]  Парсим новость по адресу https://roscongress.org/news/chelovecheskij-kapital-dlja-novoj-evrazii-/
main.py[LINE:50]# INFO     [2019-09-15 01:06:31,855]  Парсинг окончен
main.py[LINE:166]# INFO     [2019-09-15 01:06:33,656]  Запись в БД: https://roscongress.org/news/chelovecheskij-kapital-dlja-novoj-evrazii-/
main.py[LINE:175]# INFO     [2019-09-15 01:06:33,686]  Данные записаны
main.py[LINE:61]# ERROR    [2019-09-15 01:06:34,547]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:06:34,547]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:06:37,086]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:07:37,088]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:07:40,776]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:07:40,776]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:07:44,697]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:07:50,371]  Парсим новость по адресу https://roscongress.org/news/three-far-east-projects-win-the-eastboundcamp-/
main.py[LINE:50]# INFO     [2019-09-15 01:07:53,035]  Парсинг окончен
main.py[LINE:166]# INFO     [2019-09-15 01:07:54,761]  Запись в БД: https://roscongress.org/news/three-far-east-projects-win-the-eastboundcamp-/
main.py[LINE:175]# INFO     [2019-09-15 01:07:54,791]  Данные записаны
main.py[LINE:61]# ERROR    [2019-09-15 01:07:55,646]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:07:55,647]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:07:58,171]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:08:58,193]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:09:03,331]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:09:03,332]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:09:07,126]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:09:08,641]  Парсим новость по адресу https://roscongress.org/news/fond-roskongress-podpisal-trehstoronnee-soglashenie-o-sotrudnichestve-s-gubernatorom-nenetskogo-avtonomnogo-okruga-i-assotsiatsiej-juristov-rossii/
main.py[LINE:50]# INFO     [2019-09-15 01:09:13,912]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:09:15,611]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:09:17,485]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:27]# INFO     [2019-09-15 01:09:17,550]  Парсим новость по адресу https://roscongress.org/news/tsifrovoe-buduschee-transportnyh-koridorov-cherez-dalnij-vostok-mezhdunarodnyj-opyt-i-rossijskie-realii-/
main.py[LINE:50]# INFO     [2019-09-15 01:09:19,759]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:09:21,367]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:09:22,993]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:10:23,223]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:65]# INFO     [2019-09-15 01:10:29,628]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:10:29,688]  Парсим новость по адресу https://roscongress.org/news/rossija-i-eaes-v-atr-kljuchevye-faktory-integratsii-i-perspektivy-razvitija-delovogo-sotrudnichestva/
main.py[LINE:50]# INFO     [2019-09-15 01:10:32,017]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:10:33,684]  Новость уже есть в БД
main.py[LINE:61]# ERROR    [2019-09-15 01:10:34,929]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:10:34,930]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:10:37,800]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:11:38,013]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:65]# INFO     [2019-09-15 01:11:44,978]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:11:45,138]  Парсим новость по адресу https://roscongress.org/news/rossija-asean-/
main.py[LINE:50]# INFO     [2019-09-15 01:11:47,425]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:11:49,157]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:11:51,729]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:12:51,939]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:12:56,697]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:12:56,697]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:13:01,188]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:13:06,912]  Парсим новость по адресу https://roscongress.org/news/the-roscongress-foundation-and-the-russian-olympic-committee-agree-upon-supporting-the-olympic-movement/
main.py[LINE:50]# INFO     [2019-09-15 01:13:11,237]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:13:13,144]  Новость уже есть в БД
main.py[LINE:61]# ERROR    [2019-09-15 01:13:14,137]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:13:14,137]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:13:17,046]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:14:17,171]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:14:22,754]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:14:22,754]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:14:26,757]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:14:29,793]  Парсим новость по адресу https://roscongress.org/news/territorii-operezhajuschego-razvitija-i-svobodnyj-port-vladivostok-nastrojka-preferentsij/
main.py[LINE:50]# INFO     [2019-09-15 01:14:33,813]  Парсинг окончен
main.py[LINE:166]# INFO     [2019-09-15 01:14:35,456]  Запись в БД: https://roscongress.org/news/territorii-operezhajuschego-razvitija-i-svobodnyj-port-vladivostok-nastrojka-preferentsij/
main.py[LINE:175]# INFO     [2019-09-15 01:14:35,511]  Данные записаны
main.py[LINE:65]# INFO     [2019-09-15 01:14:37,289]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:15:37,527]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:15:43,845]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:15:43,845]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:15:46,294]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:15:51,762]  Парсим новость по адресу https://roscongress.org/news/zajavlenija-dlja-pressy-po-itogam-rossijsko-indijskih-peregovorov/
main.py[LINE:50]# INFO     [2019-09-15 01:15:55,566]  Парсинг окончен
main.py[LINE:166]# INFO     [2019-09-15 01:15:57,131]  Запись в БД: https://roscongress.org/news/zajavlenija-dlja-pressy-po-itogam-rossijsko-indijskih-peregovorov/
main.py[LINE:175]# INFO     [2019-09-15 01:15:57,189]  Данные записаны
main.py[LINE:65]# INFO     [2019-09-15 01:15:58,164]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:16:58,657]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:17:08,140]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:17:08,140]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:17:11,820]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:17:18,792]  Парсим новость по адресу https://roscongress.org/news/zasedanie-prezidiuma-gossoveta-04-09-2019-1/
main.py[LINE:50]# INFO     [2019-09-15 01:17:24,571]  Парсинг окончен
main.py[LINE:166]# INFO     [2019-09-15 01:17:26,174]  Запись в БД: https://roscongress.org/news/zasedanie-prezidiuma-gossoveta-04-09-2019-1/
main.py[LINE:175]# INFO     [2019-09-15 01:17:26,230]  Данные записаны
main.py[LINE:65]# INFO     [2019-09-15 01:17:27,414]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:18:27,555]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:18:33,167]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:18:33,167]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:18:35,566]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:18:38,294]  Парсим новость по адресу https://roscongress.org/news/tsifrovoe-gosudarstvo-novye-biznes-modeli-na-volne-totalnoj-tsifrovizatsii/
main.py[LINE:50]# INFO     [2019-09-15 01:18:41,962]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:18:43,476]  Новость уже есть в БД
main.py[LINE:61]# ERROR    [2019-09-15 01:18:44,434]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:18:44,434]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:18:46,861]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:19:46,962]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:19:50,903]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:19:50,903]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:19:54,629]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:20:54,726]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 2 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:21:01,343]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:21:01,344]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:21:04,167]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:21:10,049]  Парсим новость по адресу https://roscongress.org/news/ekologija-dalnego-vostoka-i-stran-atr-dolgosrochnye-perspektivy-sotrudnichestva/
main.py[LINE:50]# INFO     [2019-09-15 01:21:15,829]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:21:17,488]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:21:18,873]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:22:19,112]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
main.py[LINE:61]# ERROR    [2019-09-15 01:22:25,841]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:22:25,841]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:22:29,916]  Кнопка "показать еще" была нажата 3 раз
main.py[LINE:27]# INFO     [2019-09-15 01:22:33,757]  Парсим новость по адресу https://roscongress.org/news/innosocium-foundation-for-the-promotion-of-social-development-and-presidential-grants-foundation-sign-cooperation-agreement-at-eastern-economic-forum/
main.py[LINE:50]# INFO     [2019-09-15 01:22:38,138]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:22:41,121]  Новость уже есть в БД
main.py[LINE:61]# ERROR    [2019-09-15 01:22:42,108]  Не удалось нажать кнопку 'показать еще':Message: stale element reference: element is not attached to the page document
  (Session info: chrome=77.0.3865.75)

main.py[LINE:62]# INFO     [2019-09-15 01:22:42,108]  Обновляю страницу, запускаю повторный цикл
main.py[LINE:65]# INFO     [2019-09-15 01:22:44,945]  Кнопка "показать еще" была нажата 2 раз
main.py[LINE:154]# ERROR    [2019-09-15 01:23:45,118]  Следующая новость в цикле не найдена, перезагружаем страницу, попытка 1 из 100
