mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:28:46,922]  Старт цикла 4
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:28:46,923]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:28:51,317]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,386]  Новость c заголовском(«Сбербанк Инвестиции» и «РК-Инвестиции» подписали соглашение о сотрудничестве) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,467]  Новость c заголовском(Цифровая трансформация международной торговли: Электронная коммерция и не только) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,540]  Новость c заголовском(Цифровое государство: Новые бизнес-модели на волне тотальной цифровизации) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,608]  Новость c заголовском(Фонд Росконгресс подписал трехстороннее соглашение о сотрудничестве с губернатором Ненецкого автономного округа и Ассоциацией юристов России) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,689]  Новость c заголовском(Школа будущего: Куда движется мир? Новые образовательные платформы) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,774]  Новость c заголовском(Пленарное заседание Восточного экономического форума) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,847]  Новость c заголовском(Фонд содействия развитию инвестиций «РК-Инвестиции» подписал соглашения о взаимодействии с субъектами Дальневосточного федерального округа) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,914]  Новость c заголовском(Экология Дальнего Востока и стран АТР: долгосрочные перспективы сотрудничества) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:51,989]  Новость c заголовском(Россия — Япония) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:52,060]  Новость c заголовском(Фонд Росконгресс и Олимпийский комитет России договорились о поддержке Олимпийского движения) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:52,135]  Новость c заголовском(Лидеры производительности: квинтэссенция Азиатского и Европейского опыта для содействия региональному развитию) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:52,211]  Новость c заголовском(Энергетический скачок: Эффективность, инновационность, экологичность) уже есть в БД
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:28:52,212]  Цикл 4 Закончен
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:28:54,685]  Старт цикла 5
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:28:54,686]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:29:00,254]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,328]  Новость c заголовском(Фонд содействия социальному развитию «Инносоциум» и Фонд президентских грантов подписали соглашение о сотрудничестве на Восточном экономическом форуме) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,398]  Новость c заголовском(Встреча с Премьер-министром Японии Синдзо Абэ) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,467]  Новость c заголовском(Территории опережающего развития и свободный порт Владивосток: Настройка преференций) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,543]  Новость c заголовском(Посещение выставки «Улица Дальнего Востока») уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,614]  Новость c заголовском(Россия и Индия подписали соглашение о сотрудничестве) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,679]  Новость c заголовском(Три дальневосточных проекта стали победителями EASTBOUND.CAMP) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,748]  Новость c заголовском(Пространство «Здоровое общество» начало работу в рамках ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,822]  Новость c заголовском(Россия и ЕАЭС в АТР: ключевые факторы интеграции и перспективы развития делового сотрудничества) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,892]  Новость c заголовском(Более 500 человек вышли на старт забега в поддержку редких видов животных Дальнего Востока на ВЭФ-2019) уже есть в БД
